提交哈希 | 作者 | 提交时间 | 提交说明
2e8ff1299d3e8ec7a71b96877ec101f35a678a81|sm11 <sm11@qq.com>|2026-08-31 02:04|V7-包4:深色模式——全站跟随系统自动换肤
a6d3e95efd2ea6772e789cc72fa3458ab38cdd10|sm11 <sm11@qq.com>|2026-08-31 01:56|V7-包3:工程效率——一键回归 + 页面分包 + 数据库自动备份
f1061f30fe808baa2ab8c0b825b7cf80bf592855|sm11 <sm11@qq.com>|2026-08-31 01:52|V7-包2:安全合规——接口限流 + 身份证 AES-GCM 加密存储
a354b2f0e8481f1875e232b6d43e4b72df9bddf7|sm11 <sm11@qq.com>|2026-08-31 01:40|V7-包1:签署体验深化——金额自动大写/日期选择器/签署前身份确认
cf8ca6becdbb989fa88db073111450f31a8a4ce4|sm11 <sm11@qq.com>|2026-08-30 03:40|V6.3:UI细节修复——身份区与全站胶囊/徽标防挤压
b9b0342aa18098f00b9a18338a5d7e30d7fcdaae|sm11 <sm11@qq.com>|2026-08-30 03:01|V6.2:全面测试行动——新增边缘用例测试,修复8个缺陷(含并发死锁与双签竞态)
23a7d05fcc77967e30b9072aedc25567285a58af|sm11 <sm11@qq.com>|2026-08-30 02:28|V6.1:真机回归基建 + 平台配置指南 + 订阅消息字段键配置化
f424fd818893c170f83bc2cc8472f0eb4ce35bc1|sm11 <sm11@qq.com>|2026-08-30 02:24|V6:墨蓝信托风UI + 邀请签署/证据哈希 + 运营/协作/体验/安全四包
d41c125adaf8f744794246269720b45e48f4266b|sm11 <sm11@qq.com>|2026-08-27 03:02|版本快照 V2-V5:电子合同小程序完整功能
45688b7f267fb4773e42e32fd2234dfb538846a1|sm11 <sm11@qq.com>|2026-08-27 02:06|init: 电子合同签署小程序(原生小程序 + FastAPI + MySQL)
----------------------------------------------------------------------------------------------------
合计提交数：30（统计区间 2026-08-27 ~ 2026-09-06）
