提交哈希 | 作者 | 提交时间 | 提交说明
ceb9a1342f4611dbfb9cdf8db1fa855021795d51|sm11 <sm11@qq.com>|2026-08-08 03:00|webview 页 scss 补上变量引入修复编译报错 Undefined variable
41c31e399bac588b648ff3e7c8e95ae1985336e7|sm11 <sm11@qq.com>|2026-08-08 02:56|小程序端打开B站视频改为跳转 web-view 承载页
681afd7cf6eabd340428b330a9459c02038ec49f|sm11 <sm11@qq.com>|2026-08-08 02:51|修复小程序端打开 B站视频报 window.open 错误
ef6fe0aefe95401de1cddd3ee80df207ab078d0a|sm11 <sm11@qq.com>|2026-08-08 02:48|小程序端 B站视频改为卡片引导，彻底解决 web-view 覆盖问题
ef36ff913b324b67f1428d24d7e4e9086a494add|sm11 <sm11@qq.com>|2026-08-08 02:43|修复小程序端 CoverView 悬浮按钮被 web-view 盖住
47667e1380be8c0650779adc98594214b90441d9|sm11 <sm11@qq.com>|2026-08-08 02:38|小程序端视频页加悬浮"标记完成"按钮覆盖全屏 web-view
939b514f6d8490acc5894d4e811eff17245a03ce|sm11 <sm11@qq.com>|2026-08-08 02:28|AI 导师回答加深：深入讲解 + 结构化输出
51d38426268a1ff36e8dead86ebe5ef9b34a9c95|sm11 <sm11@qq.com>|2026-08-08 02:08|RAG 知识库补充详细课程知识 + 检索质量优化
ea49ace65463b1e84838e3808124a53f0fc77701|sm11 <sm11@qq.com>|2026-08-08 01:59|AI 导师接入智谱 GLM + 课程 RAG
7d8aad3db30c127c827ed2e959187d5f1e9b2fa5|sm11 <sm11@qq.com>|2026-08-08 01:33|修复 /api/ai/models 阻塞导致小程序 API 全部超时
7435f05af483a56a5352879dde3a1f0a6a8d2f1c|sm11 <sm11@qq.com>|2026-08-07 12:55|项目步骤改写为新手级教程 + 步骤展示 markdown 清理
459f6a0c3a1a2bac17e58c719ff678424c996da4|sm11 <sm11@qq.com>|2026-08-07 12:35|项目可逐步完成：操作指引+验收标准+步骤推进
3c73da2a18749ecac5473f3226c90f38ba06b202|sm11 <sm11@qq.com>|2026-08-07 12:21|项目详情页展示每个项目专属的分步实践指南
7018ca0516fa0eef372d2da2bc6f79859d5d8ef5|sm11 <sm11@qq.com>|2026-08-07 12:10|修复视频时长显示错误：秒被当成分钟导致"6小时29分钟"
4f8da367932f6dfaece346958e7ad9abab2c9b11|sm11 <sm11@qq.com>|2026-08-07 12:03|课程详情页按章节展示分P子视频 + 非完整版标注
50395aab1e167a7adf209dc8839c5f4f42c414f1|sm11 <sm11@qq.com>|2026-08-07 11:46|学习天数改为连续学习天数(streak) + 视频完成记录时间戳
3bd11e05e1d74d5facabafa80f85c355d0312846|sm11 <sm11@qq.com>|2026-08-07 11:31|首页学习统计改为按视频实时统计
e6e12a30a85c4730d1ec37a1b19f994dfa17fc0f|sm11 <sm11@qq.com>|2026-08-07 11:28|首页学习统计改为实时动态数据
c6cff97da6af84c5f2016d033e5130b0935218be|sm11 <sm11@qq.com>|2026-08-07 11:12|课程推荐优化：即时准确返回 + 推荐项可点击跳转
2ef48623a2fa7969e9e4e6286470611ea14d71b8|sm11 <sm11@qq.com>|2026-08-07 10:57|首页/学习页修复：AI推荐改真实课程、分类与推荐中文显示、学习页加返回首页
aa26316a1ac72df23410200c94ac3bbed8e3571a|sm11 <sm11@qq.com>|2026-08-07 10:36|课程详情页返回时实时刷新学习进度
42b2804355f0be9bd3cb13eb54458b8780b9d17b|sm11 <sm11@qq.com>|2026-08-07 10:32|修复视频看完自动完成后点"标记完成"误报"请先完成前一个节点"
610a5dc915bf6e0336d2eaa9e3e17b28e3e0ef78|sm11 <sm11@qq.com>|2026-08-07 10:27|学习路径进度按视频粒度实时计算 + 重复课程自动完成解锁
df71c85eb47ea59bd7d8b7ff6897a7e78bd95711|sm11 <sm11@qq.com>|2026-08-07 10:17|学习路径页返回时实时刷新进度和解锁状态
29fff026be0e1866d0c15466f18cd7651f43914f|sm11 <sm11@qq.com>|2026-08-07 10:08|恢复学习路径顺序解锁：locked 节点不可点击/完成
5efc491b0c21efc791d4d40a530c4d55eb763fe3|sm11 <sm11@qq.com>|2026-08-07 10:02|学习路径支持多方向切换 + 差异化课程组合
74df7113ce7450f3fa38f85901ae50934961d399|sm11 <sm11@qq.com>|2026-08-07 09:17|课程详情学习进度实时计算
da748df52a9a3ed4b052c7807ceb987d2bf91b5e|sm11 <sm11@qq.com>|2026-08-07 09:12|修复章节进入视频页时"已看完"按钮失效
65aba25c106d01c28bb114ddbb2ac19922a69306|sm11 <sm11@qq.com>|2026-08-07 09:06|修复视频页"已看完本视频"按钮被挤出视口无法显示
f80fa2da3558465d33d68d4773acc8dc5b711129|sm11 <sm11@qq.com>|2026-08-07 08:52|修复视频页播放列表加载全部课程视频导致页面塞满
7a018e5f7b3134404b072d9a0ed2999f2ab2c5dd|sm11 <sm11@qq.com>|2026-08-07 08:15|课程完成需先看完课程全部视频
fce211ef2eb0cc4c1b3036a3a81bf09ff154c158|sm11 <sm11@qq.com>|2026-08-07 08:04|学习路径节点解锁链路 + 测评优势领域阈值修复
ef96332370da8e0fbb7117ce4aa5549514c912af|sm11 <sm11@qq.com>|2026-08-07 07:00|改造测评全链路：动态能力报告 + AI 融合 + 按方向生成学习路径
7c449b0ee4cbcfc128e86ea89760e607acce1890|sm11 <sm11@qq.com>|2026-08-07 06:05|新增章节详情页 + 课程章节数据迁移 + 修复 tabBar 图标格式
03671e1e525dfd4156de7a6419ece7af90e22604|sm11 <sm11@qq.com>|2026-08-07 03:59|修复前端API代理问题 + 完成课程/视频/CMS/测评/后台等全链路功能
fbc0c904857f2a4d340a58bb6897c38138a3b75b|sm11 <sm11@qq.com>|2026-08-06 22:13|修复：全项目 TypeScript 类型错误，移除未使用变量，重建微信小程序
e6f00ca190fa7f85cdcfc1f080c2db0d42e320a4|sm11 <sm11@qq.com>|2026-08-06 21:37|修复：api.ts 改用 Taro.request() 兼容微信小程序，tsconfig 加 skipLibCheck
955611218325ead0e2f5d735ef136f37bc6cbf33|sm11 <sm11@qq.com>|2026-08-06 12:19|重构：去除硬编码mock数据，接入富化数据API，新增视频播放功能
673b308fd84c7b4cb8e38dd83f7c46f672edd47c|sm11 <sm11@qq.com>|2026-08-06 05:45|优化：AI导师模型推理加速、回答精简、CORS修复及前端预加载
4b878d7e5b8d10a0be6b34d5c70c87bc3e5347d3|sm11 <sm11@qq.com>|2026-08-06 04:31|初始化项目：AI实习培训小程序

----------------------------------------------------------------------------------------------------
合计提交数：122
